,movieId,Frequency
0,356,341
1,296,324
2,318,311
3,593,304
4,260,291
5,480,274
6,2571,259
7,1,247
8,527,244
9,589,237
10,1196,234
11,110,228
12,1270,226
13,608,224
14,2858,220
15,1198,220
16,780,218
17,1210,217
18,588,215
19,457,213
20,590,202
21,2959,202
22,47,201
23,50,201
24,364,200
25,858,200
26,150,200
27,4993,200
28,380,198
29,592,196
30,32,196
31,2762,193
32,2028,191
33,1580,190
34,5952,188
35,377,180
36,595,176
37,7153,176
38,344,175
39,4306,174
40,648,168
41,1265,165
42,1721,164
43,1197,163
44,3578,161
45,1097,160
46,231,158
47,1240,158
48,1704,157
49,367,157
50,500,153
51,1036,151
52,736,150
53,1073,148
54,34,148
55,1291,147
56,2716,147
57,597,147
58,541,146
59,1136,145
60,316,145
61,1193,144
62,165,142
63,6539,141
64,2628,138
65,1682,137
66,733,135
67,1221,135
68,5349,134
69,2918,133
70,1089,132
71,293,132
72,4226,132
73,1213,131
74,4963,130
75,4886,130
76,586,129
77,153,129
78,1214,127
79,3793,127
80,587,126
81,2997,126
82,8961,126
83,539,125
84,1200,125
85,1617,125
86,253,125
87,3114,125
88,4973,125
89,778,124
90,1923,123
91,924,123
92,357,122
93,6377,122
94,10,122
95,2396,121
96,1206,121
97,58559,121
98,1732,120
99,39,120
100,1961,119
101,111,118
102,1527,118
103,912,117
104,919,117
105,1968,117
106,5445,115
107,349,115
108,329,114
109,4995,114
110,3996,114
111,1917,113
112,208,113
113,2683,112
114,1208,112
115,1259,112
116,79132,111
117,2706,111
118,6874,111
119,292,110
120,454,110
121,223,109
122,1387,108
123,2987,108
124,2329,107
125,288,107
126,2,107
127,1517,107
128,2797,107
129,1393,106
130,434,106
131,2502,106
132,7361,106
133,2791,106
134,4896,105
135,2355,105
136,33794,105
137,750,105
138,2916,104
139,36,104
140,6,104
141,1222,104
142,2174,104
143,3147,103
144,7438,103
145,185,102
146,339,101
147,25,101
148,1258,101
149,1225,100
150,5418,100
151,2011,99
152,1784,99
153,3897,99
154,2324,99
155,3751,99
156,5989,99
157,2115,98
158,1610,97
159,4027,96
160,4022,96
161,4011,95
162,1246,95
163,442,95
164,21,95
165,1220,94
166,2012,94
167,104,94
168,141,93
169,95,93
170,4878,93
171,1584,92
172,904,92
173,19,92
174,1080,91
175,1380,90
176,551,90
177,300,90
178,440,90
179,2000,90
180,1247,89
181,1079,89
182,2291,89
183,337,88
184,3481,88
185,16,88
186,3948,88
187,1307,87
188,62,87
189,908,87
190,508,86
191,2710,86
192,17,86
193,923,85
194,3408,85
195,6711,85
196,8368,84
197,8636,84
198,1653,84
199,48516,84
200,1573,83
201,5378,82
202,6365,82
203,1288,82
204,11,82
205,1356,82
206,3623,81
207,6333,81
208,8360,81
209,5816,81
210,32587,80
211,474,80
212,1391,80
213,2692,80
214,161,80
215,1230,80
216,1207,80
217,1035,80
218,2617,79
219,3977,79
220,2599,79
221,3052,79
222,2081,78
223,235,78
224,2194,78
225,1028,78
226,509,78
227,1219,77
228,2268,76
229,1252,76
230,46578,76
231,2054,76
232,832,76
233,60069,76
234,2302,76
235,1625,76
236,2700,75
237,2640,75
238,59315,75
239,2804,75
240,1304,75
241,1148,75
242,1278,74
243,8665,74
244,1101,74
245,3253,74
246,1183,74
247,1203,74
248,2542,74
249,4034,73
250,44191,73
251,410,73
252,1407,73
253,266,73
254,56367,72
255,1374,72
256,802,72
257,1676,72
258,953,72
259,1127,71
260,594,71
261,368,71
262,1485,71
263,4246,71
264,8874,70
265,350,70
266,173,70
267,1608,70
268,1777,70
269,555,70
270,1394,70
271,317,70
272,3949,69
273,4979,69
274,6016,69
275,1954,69
276,786,69
277,903,69
278,1090,68
279,920,68
280,788,68
281,2395,68
282,353,67
283,370,67
284,72998,67
285,1302,67
286,2353,67
287,1544,67
288,1370,66
289,910,66
290,596,66
291,3176,66
292,1358,66
293,3753,65
294,1376,65
295,520,65
296,1639,65
297,3175,65
298,30707,65
299,1250,65
300,2406,65
301,1282,64
302,1641,64
303,899,64
304,2321,64
305,1997,64
306,2671,64
307,1377,64
308,1500,64
309,2712,63
310,160,63
311,1234,63
312,5218,63
313,163,63
314,2657,63
315,5618,63
316,432,63
317,913,62
318,265,62
319,2699,62
320,745,62
321,1199,62
322,3994,62
323,653,62
324,33493,62
325,3471,62
326,3671,62
327,1673,62
328,1285,61
329,49272,61
330,54286,61
331,708,61
332,494,61
333,48,61
334,5995,61
335,68954,61
336,246,61
337,785,60
338,2424,60
339,497,60
340,2470,60
341,236,60
342,1645,60
343,1747,59
344,45722,59
345,784,59
346,40815,59
347,68157,59
348,466,59
349,3421,59
350,3911,59
351,50872,59
352,51662,59
353,3,59
354,5060,59
355,1552,59
356,8784,58
357,2985,58
358,2167,58
359,1242,58
360,1059,58
361,158,58
362,3033,58
363,5669,58
364,3255,57
365,2572,57
366,1729,57
367,1266,57
368,2529,57
369,3160,57
370,8644,57
371,2001,57
372,1201,57
373,420,57
374,553,57
375,1674,56
376,1084,56
377,3717,56
378,1092,56
379,5,56
380,342,56
381,6942,55
382,4308,55
383,4370,55
384,6378,55
385,435,55
386,2006,55
387,1320,55
388,1022,55
389,196,55
390,7147,55
391,2019,54
392,1375,54
393,6934,54
394,5502,54
395,1244,54
396,3552,54
397,661,53
398,3755,53
399,70286,53
400,1088,53
401,7,53
402,3527,53
403,3448,53
404,2294,53
405,2947,53
406,4025,53
407,485,53
408,3081,52
409,6502,52
410,1339,52
411,63082,52
412,5377,52
413,225,52
414,852,52
415,48394,52
416,2100,52
417,3210,52
418,543,52
419,48780,52
420,1569,52
421,1215,52
422,2080,51
423,5299,51
424,1748,51
425,74458,51
426,2109,51
427,1333,51
428,1396,51
429,1204,51
430,35836,51
431,2770,51
432,52,51
433,3535,51
434,2539,51
435,4085,51
436,68358,51
437,1233,51
438,2541,51
439,5991,51
440,914,51
441,2005,51
442,6863,51
443,261,51
444,969,50
445,1228,50
446,6373,50
447,628,50
448,333,50
449,673,50
450,1094,50
451,552,50
452,2580,50
453,5459,49
454,4262,49
455,805,49
456,3101,49
457,1275,49
458,41566,49
459,1267,49
460,1032,49
461,1042,49
462,4720,49
463,33679,49
464,783,49
465,112,49
466,55820,49
467,1262,49
468,1722,49
469,471,49
470,5010,49
471,151,48
472,1263,48
473,70,48
474,1876,48
475,5679,48
476,1129,48
477,91529,48
478,33166,48
479,186,48
480,7254,48
481,3256,48
482,172,48
483,105,48
484,345,48
485,3039,48
486,2336,48
487,1909,47
488,2248,47
489,2701,47
490,1371,47
491,4447,47
492,1562,47
